Shelf Type,Dual Evaporation,Depth Including Handles (in.),Water-Filtration-Replacement Indicator Light,Freezer Capacity,Ice Maker,Material,Height to Top of Door Hinge (in.),ENERGY STAR Qualified,Power Cord Included,Freezer Door Type,Thru-the-Door Water Dispenser,Sabbath Mode,Depth with Door 90&#176; Open (in.),Number Of Temperature Settings,Number Of Fixed Shelves,Number of Freezer Door Bins,Number of Doors,Humidity-Controlled Crisper,Dispensed Water Type,Interior Light(s),Spill-Safe Shelves,Surface Finish,Number Of Shelves,Freezer Compartment Width,Height to Top of Refrigerator (in.),Child Lock,See-Through Door,Door-Open Alarm,Water Filter Location,ETL Listed,Shelf Material,Lighting Type,Estimated Annual Electricity Use,Door-In-Door Capability,Maximum Temperature,Number of Refrigerator Door Bins,Number of Compressors,Automatic Defrost,Gallon Door Storage,pricematch,Factory-Installed Icemaker,Number of Evaporators,Depth Without Door,Water Dispenser,Digital Temperature Control,Total Capacity (cu. ft.),Amperage,Magnetic Doors,Freezer Compartment,Voltage,Number Of Adjustable Shelves,Bottle Capacity,CEE Qualified,Depth With Handle,Estimated Annual Operating Cost,Number Of Adjustable Freezer Shelves,ANSI Certified,Motion Activated Controls,Number of Temperature Controlled Zones,Number Of Doors,Refrigerator Capacity,Ice Tray Included,Number Of Fixed Freezer Shelves,Temperature Control Type,Color Category,Deli Meat Drawer,Wine Cooler Type,CSA Listed,Storage Capacity,Door-Handle Color,Capacity: Fresh-Food (cu. ft.),Refrigerator Shelf Construction,Height To Top Of Refrigerator,Refrigerator Shelf Material,Refrigerator Type,Cabinet Side Color,UL Listed,Number of Drawers,Depth With Door 90 Degrees Open,Door Lock,Water Filter Model Number,Side Cabinet Color,Wattage,Depth Without Handle,Dairy Center,In-Door Storage,Number of Refrigerator Shelves,Counter Depth,Door Handle Color,Number Of Units,Depth Without Handles (in.),LED Lighting,Frost-Free,Freezer Shelf Material,Thru-The-Door Dispenser,Minimum Temperature,CFC Free,Fresh Food Capacity,Cantilever Shelves,Height To Top Of Door Hinge,Thru-the-Door Ice Dispenser,ENERGY STAR Certified,Quick Freeze,Additional Accessories Included,Freezer Interior Light,Style,Capacity: Freezer (cu. ft.),Freezer Location,Estimated Yearly Operating Cost,Water Filtration,Adjustable Racks,ADA Compliant,Cooling Unit Type,Energy Consumption (kWh/year),Depth Less Door (in.),Ice Cube Style,Reversible Door Hinge,Water Dispenser Location,Estimated Yearly Electricity Use (kWh),Digital Display,NSF Listed,Crisper Drawer,Liner Material,Number of Freezer Shelves Baskets,Daily Ice Production,Dispenser Color,Door Swing,Smart Phone Compatible,Deodorizer,Wine Compatibility,Cord Length
N/A,N/A,N/A,N/A,5.13 cubic feet,Optional,N/A,N/A,N/A,Yes,Swing Door,N/A,No,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,369 kilowatt hours,No,N/A,N/A,N/A,N/A,Yes,yes,N/A,N/A,28.375 inches,N/A,N/A,N/A,15 amperes,N/A,Yes,N/A,N/A,N/A,N/A,34.25 inches,44 United States dollars,N/A,N/A,N/A,N/A,2,18.2 cubic feet,N/A,N/A,Analog,Black,N/A,N/A,N/A,N/A,N/A,N/A,N/A,65.875 inches,Glass,Top Freezer,N/A,N/A,N/A,60 inches,No,N/A,N/A,N/A,32.125 inches,Yes,N/A,N/A,No,Black,N/A,N/A,N/A,Yes,Wire,Not Applicable,N/A,N/A,13.05 cubic feet,No,66.625 inches,N/A,Yes,N/A,N/A,N/A,N/A,N/A,Top,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Applicable,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,6.2 cubic feet,Optional,N/A,N/A,N/A,Yes,Swing Door,N/A,No,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,483 kilowatt hours,No,N/A,N/A,N/A,N/A,Yes,yes,N/A,N/A,28.25 inches,N/A,N/A,N/A,15 amperes,N/A,Yes,N/A,2,N/A,N/A,33.88 inches,58 United States dollars,N/A,N/A,N/A,N/A,2,20.3 cubic feet,Yes,1,Electronic,Black,N/A,N/A,N/A,N/A,N/A,N/A,N/A,65.75 inches,Glass,Bottom Freezer,N/A,N/A,N/A,59.75 inches,No,N/A,N/A,N/A,32.5 inches,Yes,N/A,N/A,No,Stainless-Steel,1,N/A,N/A,N/A,Wire,Not Applicable,N/A,N/A,14.1 cubic feet,Yes,66.5 inches,N/A,No,N/A,N/A,Yes,N/A,N/A,Bottom,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Applicable,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.7 cubic feet,N/A,N/A,Analog,Black,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20.25 inches,Wire,Compact,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,1,N/A,N/A,N/A,N/A,Not Applicable,N/A,N/A,N/A,N/A,20.25 inches,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,4.02 cubic feet,Yes,N/A,N/A,N/A,Yes,Swing Door,N/A,No,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,442 kilowatt hours,No,N/A,N/A,N/A,N/A,Yes,yes,N/A,N/A,26.63 inches,N/A,N/A,N/A,15 amperes,N/A,Yes,120 volts,N/A,N/A,N/A,32.88 inches,53 United States dollars,1,N/A,N/A,N/A,2,17.5 cubic feet,N/A,N/A,Analog,White,N/A,N/A,N/A,N/A,N/A,N/A,N/A,66.88 inches,Wire,Top Freezer,N/A,Yes,N/A,56.75 inches,No,N/A,N/A,N/A,30.5 inches,Yes,N/A,N/A,No,White,N/A,N/A,N/A,Yes,Wire,Not Applicable,N/A,N/A,13.51 cubic feet,No,67.38 inches,N/A,Yes,N/A,N/A,N/A,N/A,N/A,Top,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Applicable,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,5.13 cubic feet,Optional,N/A,N/A,N/A,Yes,Swing Door,N/A,No,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,369 kilowatt hours,No,N/A,N/A,N/A,N/A,Yes,yes,N/A,N/A,28.375 inches,N/A,N/A,N/A,15 amperes,N/A,Yes,120 volts,3,N/A,N/A,34.5 inches,44 United States dollars,N/A,N/A,N/A,N/A,2,18.2 cubic feet,N/A,N/A,Analog,Silver,N/A,N/A,N/A,N/A,N/A,N/A,N/A,65.875 inches,Glass,Top Freezer,N/A,N/A,N/A,60 inches,No,N/A,N/A,N/A,32.125 inches,Yes,N/A,N/A,No,Stainless-Steel,N/A,N/A,N/A,Yes,Wire,Not Applicable,N/A,N/A,13.05 cubic feet,No,66.625 inches,N/A,Yes,N/A,N/A,N/A,N/A,N/A,Top,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Applicable,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,9.2 cubic feet,Yes,N/A,N/A,N/A,Yes,Pull Out Drawer,N/A,Yes,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Internal,N/A,N/A,LED,652 kilowatt hours,No,N/A,N/A,N/A,N/A,Yes,yes,N/A,N/A,29.375 inches,N/A,N/A,N/A,15 amperes,N/A,Yes,N/A,N/A,N/A,N/A,36.25 inches,78 United States dollars,N/A,N/A,N/A,N/A,2,28.5 cubic feet,N/A,N/A,Electronic,Black,N/A,N/A,N/A,N/A,N/A,N/A,N/A,69 inches,Glass,French Door,N/A,N/A,N/A,48.375 inches,No,RPWFE,N/A,N/A,33.75 inches,No,N/A,N/A,No,Black,N/A,N/A,N/A,N/A,N/A,Not Applicable,N/A,N/A,19.3 cubic feet,Yes,69.875 inches,N/A,Yes,N/A,N/A,N/A,N/A,N/A,Bottom,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Applicable,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,0.5 cubic feet,No,N/A,N/A,N/A,Yes,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,226 kilowatt hours,No,N/A,N/A,N/A,N/A,No,yes,N/A,N/A,18.88 inches,N/A,N/A,N/A,1 amperes,N/A,Yes,N/A,N/A,N/A,N/A,18.88 inches,27 United States dollars,N/A,N/A,N/A,N/A,1,4.4 cubic feet,N/A,N/A,Analog,Black,N/A,N/A,N/A,N/A,N/A,N/A,N/A,32.25 inches,Glass,Compact,N/A,N/A,N/A,39.63 inches,No,N/A,Black,N/A,18.88 inches,No,N/A,N/A,Yes,Black,1,N/A,N/A,N/A,N/A,Not Applicable,N/A,N/A,N/A,No,32.75 inches,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,7.7 cubic feet,Yes,N/A,N/A,N/A,N/A,Pull Out Drawer,N/A,Yes,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,Yes,N/A,N/A,N/A,N/A,No,N/A,Yes,N/A,N/A,N/A,LED,N/A,No,N/A,N/A,N/A,N/A,Yes,yes,N/A,N/A,N/A,N/A,N/A,N/A,15 amperes,N/A,Yes,N/A,N/A,N/A,N/A,33 inches,N/A,N/A,N/A,No,N/A,3,26.7 cubic feet,N/A,N/A,Digital,Silver,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Spill-proof glass,French Door,N/A,N/A,N/A,47.5 inches,No,N/A,N/A,N/A,N/A,No,N/A,N/A,No,Silver,1,N/A,N/A,N/A,N/A,Water|Cubed Ice,N/A,N/A,19 cubic feet,No,69.5 inches,N/A,No,N/A,N/A,N/A,N/A,N/A,Bottom,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Silver,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,31-1/2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,70,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,Electric,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Plastic,N/A,N/A,N/A,Cherry,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,Wine & Beverage Cooler,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,8.6 cubic feet,Yes,N/A,N/A,N/A,N/A,Swing Door,N/A,No,N/A,N/A,4,N/A,N/A,Yes,Water,N/A,Yes,Smooth,N/A,N/A,N/A,Yes,N/A,Yes,N/A,Yes,N/A,Other,N/A,N/A,N/A,N/A,N/A,N/A,Yes,yes,N/A,N/A,23.88 inches,N/A,N/A,N/A,15 amperes,N/A,Yes,120 volts,3,N/A,No,28.75 inches,N/A,2,N/A,N/A,N/A,2,23.4 cubic feet,Yes,4,Digital,White,N/A,N/A,Yes,N/A,N/A,N/A,N/A,68.75 inches,Spill-proof glass,Side-by-Side,N/A,Yes,N/A,46 inches,No,N/A,White,N/A,27.13 inches,Yes,N/A,N/A,Yes,White,1,N/A,N/A,Yes,Wire,Water|Cubed Ice,N/A,N/A,14.8 cubic feet,No,69.25 inches,N/A,No,No,N/A,Yes,N/A,N/A,Top,N/A,Yes,N/A,Yes,N/A,N/A,N/A,Cubed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,White,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,5.09 cubic feet,Optional,N/A,N/A,N/A,Yes,Swing Door,N/A,No,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,No,Textured,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,369 kilowatt hours,No,N/A,N/A,N/A,N/A,Yes,yes,N/A,N/A,28.375 inches,N/A,N/A,N/A,15 amperes,N/A,Yes,120 volts,N/A,N/A,N/A,34.25 inches,44 United States dollars,N/A,N/A,N/A,N/A,2,18.2 cubic feet,N/A,N/A,Analog,Black,N/A,N/A,N/A,N/A,N/A,N/A,N/A,65.875 inches,Glass|Wire,Top Freezer,N/A,N/A,N/A,60 inches,No,N/A,N/A,N/A,32.125 inches,Yes,N/A,N/A,No,Black,1,N/A,N/A,Yes,Wire,Not Applicable,N/A,N/A,13.05 cubic feet,Yes,66.625 inches,N/A,Yes,N/A,N/A,N/A,N/A,N/A,Top,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Applicable,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,7.14 cubic feet,Yes,N/A,N/A,N/A,Yes,Swing Door,N/A,No,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,No,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,Other,646 kilowatt hours,No,N/A,N/A,N/A,N/A,Yes,yes,N/A,N/A,28 inches,N/A,N/A,N/A,15 amperes,N/A,Yes,N/A,N/A,N/A,N/A,33.625 inches,78 United States dollars,N/A,N/A,N/A,N/A,2,20.0 cubic feet,N/A,N/A,Electronic,Black,N/A,N/A,N/A,N/A,N/A,N/A,N/A,66.5 inches,Glass,Side-by-Side,N/A,N/A,N/A,47.375 inches,No,N/A,N/A,N/A,31.25 inches,Yes,N/A,N/A,No,Black,1,N/A,N/A,N/A,Wire,Crushed Ice|Cubed Ice,N/A,N/A,12.85 cubic feet,Yes,67.5 inches,N/A,No,N/A,N/A,N/A,N/A,N/A,Left,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Black,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,Wood,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,51,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Electronic,Silver,N/A,Freestanding,N/A,5.1 cubic feet,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Compressor,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,4.02 cubic feet,Optional,N/A,N/A,N/A,Yes,Swing Door,N/A,No,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,Yes,Textured,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Other,358 kilowatt hours,No,N/A,N/A,N/A,N/A,Yes,yes,N/A,N/A,26.625 inches,N/A,N/A,N/A,15 amperes,N/A,Yes,120 volts,2,N/A,N/A,32.5 inches,43 United States dollars,1,N/A,N/A,N/A,2,17.5 cubic feet,N/A,N/A,Analog,Tan,N/A,N/A,N/A,N/A,N/A,N/A,N/A,66.875 inches,Spill-proof glass,Top Freezer,N/A,Yes,N/A,56.75 inches,No,N/A,Tan,N/A,30.5 inches,Yes,N/A,N/A,No,Tan,1,N/A,N/A,Yes,Wire,Not Applicable,N/A,N/A,13.51 cubic feet,No,67.375 inches,N/A,No,N/A,N/A,N/A,N/A,N/A,Top,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Applicable,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,3.9 cubic feet,Yes,N/A,N/A,N/A,N/A,Swing Door,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,447 kilowatt hours,N/A,N/A,N/A,N/A,N/A,Yes,yes,N/A,N/A,26.88 inches,N/A,N/A,N/A,15 amperes,N/A,Yes,120 volts,N/A,N/A,N/A,29.88 inches,54 United States dollars,N/A,N/A,N/A,N/A,2,18.0 cubic feet,N/A,N/A,Electronic,White,Yes,N/A,N/A,N/A,N/A,N/A,N/A,66.13 inches,Spill-proof glass,Top Freezer,N/A,N/A,N/A,58.5 inches,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,No,White,N/A,N/A,N/A,N/A,Wire,Not Applicable,N/A,N/A,14.1 cubic feet,No,66.13 inches,N/A,Yes,N/A,N/A,N/A,N/A,N/A,Top,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Applicable,N/A,N/A,N/A,N/A,N/A
